study,nC,nT,assign_type,yi
1,42,60,,-0.192752798000512
1,42,60,,-0.0375731160970675
1,42,60,,-0.204424879901855
2,41,48,,-0.661847238334918
2,41,48,,0.599856423066384
3,25,27,,1.00052575131677
3,25,27,,1.60740189753685
4,49,57,group,0.371890958097699
4,49,57,group,0.587309432132661
4,49,57,group,0.226692014697537
4,49,57,group,0.281614161570463
4,49,57,group,-0.0142145723102488
4,49,57,group,0.189466260480923
5,25,25,,2.6916099659321
5,25,25,,2.31598079817247
6,15,21,group,0.0682151288550909
6,15,21,group,1.01391315406569
6,15,21,group,0.376057761637043
6,15,21,group,1.2709321512273
7,45,61,,-0.417240202435061
7,45,61,,0.393242240443313
8,38,39,,0.178192970168321
8,38,39,,0.217791407983504
9,61,63,group,-0.152898111297999
9,61,62,group,1.01468941066602
9,40,46,group,1.55105111941201
9,50,54,group,1.2495526019454
10,166,166,group,0.202673875184336
10,166,166,group,0.229120090221878
10,166,166,group,0.161688335894096
10,166,166,group,0.117176889479227
10,166,166,group,0.151935899694729
10,166,166,group,0.26174264620757
10,166,166,group,0.158055487057365
10,166,166,group,0.229120090221878
11,9,6,,0.219491740813811
11,9,6,,0.35765053806006
12,57,17,,0.307892612004252
13,20,19,group,-0.104287903403544
13,18,19,group,2.1844447132699
14,32,36,,1.02012631123806
15,11,10,,0.508503339045023
15,11,10,,0.292448243020361
16,23,23,group,0.50034609547165
17,41,69,group,-0.279975956205239
17,41,69,group,0.0274261916806381
18,39,78,teacher,-0.477180685764921
18,39,78,teacher,0.130804454277809
19,23,23,teacher,0.213610560740179
19,23,23,teacher,0.840664425020672
19,23,23,teacher,-0.189690662148903
19,23,23,teacher,0.803413295616621
20,132,404,group,-0.199371496975887
21,9,12,,-0.225090149517997
21,9,12,,0.146711943944741
21,9,12,,0.183403698012175
21,9,12,,-0.341736572093589
21,9,12,,0.353483556997518
21,9,12,,-0.190922260679683
21,9,12,,-0.0142947934701097
21,9,12,,0.604841145413682
21,9,12,,0.259420669620892
22,88,110,group,-0.37974853277663
22,83,101,group,-0.288702778389041
22,88,110,group,0.132175372272112
22,83,101,group,0.0393322285439523
23,20,23,teacher,0.284973728720667
23,20,23,teacher,0.439956224397385
23,20,23,teacher,0.647372225810603
24,59,66,teacher,0.407857819363313
25,19,19,,0
26,60,117,,0.0925753796774738
26,60,117,,-0.258831637727221
27,11,12,,0.194914867068408
27,11,12,,0.484518855668602
27,11,12,,-0.761658036383262
27,11,12,,0.212574826608324
27,11,12,,0.0969523619564377
27,11,12,,0.636690200971003
28,18,30,,-0.297757614061668
28,18,30,,0.189565688345721
28,18,30,,0.311326946931933
